zip,jurisdiction,neighborhood,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
22301,Alexandria,Del Ray,2370,2420,2720,3400,4010
22302,Alexandria,Jefferson Park,2070,2110,2380,2980,3510
22303,Alexandria,Groveton,2170,2220,2500,3130,3690
22304,Alexandria,Seminary / Landmark,2200,2250,2530,3160,3730
22305,Alexandria,Arlandria / Potomac Yard,1970,2010,2260,2830,3330
22306,Alexandria,Belle View / Hybla Valley,1830,1870,2110,2640,3110
22307,Alexandria,Fort Hunt / Hollin Hills,2020,2060,2320,2900,3420
22308,Alexandria,Waynewood / Mt Vernon,3020,3080,3470,4340,5120
22309,Alexandria,Mt Vernon South,1780,1820,2050,2560,3020
22310,Alexandria,Franconia / Rose Hill,2320,2370,2670,3340,3940
22311,Alexandria,Lincolnia / N Alexandria,2090,2130,2400,3000,3540
22312,Alexandria,Lincolnia / Pinecrest,2020,2060,2320,2900,3420
22314,Alexandria,Old Town Alexandria,2830,2890,3250,4060,4790
22315,Alexandria,Kingstowne / Hayfield,2450,2510,2820,3530,4160
22320,Alexandria,Alexandria (22320),2060,2110,2370,2960,3500
22201,Arlington,Clarendon / Courthouse,2970,3040,3420,4280,5040
22202,Arlington,Crystal City,3010,3070,3460,4330,5100
22203,Arlington,Ballston,2610,2670,3000,3750,4420
22204,Arlington,Columbia Pike,1930,1970,2220,2780,3270
22205,Arlington,Westover / Bluemont,1970,2010,2260,2830,3330
22206,Arlington,Fairlington / Shirlington,2520,2580,2900,3630,4280
22207,Arlington,Chain Bridge,2400,2450,2760,3450,4070
22209,Arlington,Rosslyn,2420,2470,2780,3480,4100
22210,Arlington,Fort Myer Heights,2330,2380,2680,3350,3950
22213,Arlington,Lee Heights,3020,3080,3470,4340,5120
22215,Arlington,Arlington (22215),2330,2380,2680,3350,3950
20001,Washington DC,Shaw / U St,2770,2830,3190,3990,4700
20002,Washington DC,Capitol Hill NE / H St,2050,2100,2360,2950,3480
20003,Washington DC,Capitol Hill SE / Navy Yd,3020,3080,3470,4340,5120
20004,Washington DC,Penn Quarter,2900,2960,3330,4160,4910
20005,Washington DC,Downtown / K St,2520,2580,2900,3630,4280
20006,Washington DC,Foggy Bottom,1970,2020,2270,2840,3350
20007,Washington DC,Georgetown,2220,2270,2550,3190,3760
20008,Washington DC,Cleveland Pk / Kalorama,2700,2760,3110,3890,4590
20009,Washington DC,Adams Morgan,3020,3080,3470,4340,5120
20010,Washington DC,Columbia Heights,2200,2250,2530,3160,3730
20011,Washington DC,Petworth / Brightwood,1720,1760,1980,2480,2920
20012,Washington DC,Shepherd Park,1570,1600,1800,2250,2650
20015,Washington DC,Chevy Chase DC,1970,2010,2260,2830,3330
20016,Washington DC,Tenleytown / Palisades,2300,2350,2640,3300,3890
20017,Washington DC,Brookland,1770,1800,2030,2540,2990
20018,Washington DC,Woodridge / Ft Totten,1310,1340,1510,1890,2230
20019,Washington DC,Deanwood / Benning,1380,1410,1590,1990,2350
20020,Washington DC,Anacostia,1410,1440,1620,2030,2390
20024,Washington DC,SW Waterfront / Wharf,2210,2260,2540,3180,3750
20032,Washington DC,Congress Hts South,1420,1450,1630,2040,2400
20036,Washington DC,Dupont Circle,2320,2370,2670,3340,3940
20037,Washington DC,West End,2450,2510,2820,3530,4160
